,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,MF,us United States,22-053,1.eng Leeds United,2000,4,0,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.06,0.18,0.24,0.06,0.24,Matches,5bc43860
2,Ali Abdi,DF,tn Tunisia,28-359,2.fr Caen,1993,3,2,188,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,ad7cdb35
3,Salis Abdul Samed,MF,gh Ghana,22-263,1.fr Lens,2000,3,3,250,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,Matches,82464ce3
4,Saud Abdulhamid,DFMF,sa Saudi Arabia,23-149,1.sa Al-Hilal,1999,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.02,0.01,0.02,Matches,caa254e4
5,Nawaf Al Abed,MF,sa Saudi Arabia,32-322,1.sa Al-Shabab,1990,2,0,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.13,0.06,0.2,0.13,0.2,Matches,bfef5c87
6,Pape Abou Cissé,DF,sn Senegal,27-091,1.gr Olympiacos,1995,3,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8bc373ea
7,Vincent Aboubakar,FW,cm Cameroon,30-326,1.sa Al-Nassr,1992,3,1,142,1.6,2,1,2,0,0,2,1,1.27,0.63,1.9,1.27,1.9,0.6,0.6,0.6,1.2,0.37,0.39,0.76,0.37,0.76,Matches,8637e09a
8,Abdulrahman Al-Aboud,MFDF,sa Saudi Arabia,27-196,1.sa Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.18,0.06,0.24,0.18,0.24,Matches,9bf54a3b
9,Zakaria Aboukhlal,MFFW,ma Morocco,22-299,1.fr Toulouse,2000,3,0,54,0.6,1,0,1,0,0,0,0,1.67,0,1.67,1.67,1.67,1,1,0,1,1.63,0,1.63,1.63,1.63,Matches,c2a6033c
10,Kellyn Acosta,MF,us United States,27-143,1.us Los Angeles FC,1995,2,0,43,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ece10cfe
11,Marcos Acuña,DF,ar Argentina,31-047,1.es Sevilla,1991,5,4,316,3.5,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.02,0.04,0.06,0.02,0.06,Matches,81442ecb
12,Tyler Adams,MF,us United States,23-303,1.eng Leeds United,1999,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.5,0.01,0.11,0.12,0.01,0.12,Matches,2b09d998
13,Sam Adekugbe,DF,ca Canada,27-332,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.09,0.09,0,0.09,Matches,7f2309be
14,Michel Aebischer,MFFW,ch Switzerland,25-342,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f9c927de
15,Akram Afif,FW,qa Qatar,26-026,1.qa Al Sadd SC,1996,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.02,0.1,0.12,0.02,0.12,Matches,fd53d9e7
16,Nayef Aguerd,DF,ma Morocco,26-259,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0.01,0.05,0.04,0.05,Matches,288e1e13
17,Brandon Aguilera,MF,cr Costa Rica,19-169,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,938fa024
18,Homam Ahmed,DF,qa Qatar,23-111,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,a62fa158
19,Manuel Akanji,DF,ch Switzerland,27-148,1.eng Manchester City,1995,4,4,360,4,1,0,1,0,0,1,0,0.25,0,0.25,0.25,0.25,1.1,1.1,0.1,1.2,0.28,0.03,0.3,0.28,0.3,Matches,89ac64a6
20,Nathan Aké,DF,nl Netherlands,27-299,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,eaeca114
21,Ahmed Alaaeldin,FW,qa Qatar,29-317,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,74fbbb3c
22,Jordi Alba,DF,es Spain,33-268,1.es Barcelona,1989,4,3,264,2.9,0,2,0,0,0,0,0,0,0.68,0.68,0,0.68,0,0,0.9,0.9,0.01,0.31,0.32,0.01,0.32,Matches,4.60E+197
23,Toby Alderweireld,DF,be Belgium,33-287,1.be Antwerp,1989,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0.3,0.3,0,0.11,0.11,0,0.11,Matches,f7d50789
24,Trent Alexander-Arnold,DF,eng England,24-068,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cd1acf9d
25,Almoez Ali,FW,qa Qatar,26-117,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.15,0,0.15,0.15,0.15,Matches,bae045a9
26,Alisson,GK,br Brazil,30-073,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7a2e46a8
27,Joe Allen,MF,wls Wales,32-275,2.eng Swansea City,1990,2,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.1,0.05,0.15,0.1,0.15,Matches,9feb8f24
28,Thiago Almada,MF,ar Argentina,21-232,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,3.16,3.16,0,3.16,Matches,27f33438
29,Roberto Alvarado,FW,mx Mexico,24-098,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ff871e14
30,Edson Álvarez,MF,mx Mexico,25-051,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.11,0.12,0.01,0.12,Matches,8b3ab7ad
31,Julián Álvarez,FWMF,ar Argentina,22-317,1.eng Manchester City,2000,6,4,362,4,4,0,4,0,0,0,0,0.99,0,0.99,0.99,0.99,2.6,2.6,0.1,2.6,0.64,0.02,0.66,0.64,0.66,Matches,15ab5a2b
32,Kevin Álvarez,DF,mx Mexico,23-333,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,636b0833
33,Dani Alves,DF,br Brazil,39-222,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.14,0,0.14,0.14,0.14,Matches,c9e99e49
