,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,CC : Chances Created,CS : Crosses Successful,C% : Cross Percentage,PC : Pass Completions,P% : Pass Percentage,PLC : Pass Completions - Long,PLC% : Pass Percetange - Long,DBC : Dribbles Completed,LOP : Loss Of Posession
0,        L. Messi      ARG,    6  ,    6  ,    570  ,    15  ,    5  ,    .263  ,    242  ,    .877  ,    7  ,    .636  ,    19  ,    40  
1,        A. Griezmann      FRA,    5  ,    5  ,    377  ,    11  ,    12  ,    .324  ,    175  ,    .888  ,    5  ,    .625  ,    0  ,    10  
2,        C. Gakpo      NED,    5  ,    5  ,    454  ,    9  ,    9  ,    .273  ,    86  ,    .754  ,    1  ,    .500  ,    4  ,    22  
3,        J. Kimmich      GER,    3  ,    3  ,    270  ,    9  ,    7  ,    .292  ,    198  ,    .934  ,    9  ,    .643  ,    1  ,    7  
4,        Y. Sabaly      SEN,    4  ,    4  ,    360  ,    8  ,    1  ,    .143  ,    175  ,    .936  ,    3  ,    .333  ,    4  ,    9  
5,        L. Shaw      ENG,    5  ,    5  ,    425  ,    8  ,    8  ,    .308  ,    313  ,    .918  ,    3  ,    .250  ,    2  ,    11  
6,        T. Hernandez      FRA,    4  ,    4  ,    347  ,    8  ,    7  ,    .583  ,    198  ,    .921  ,    2  ,    .400  ,    0  ,    5  
7,        M. Kovacic      CRO,    6  ,    6  ,    549  ,    8  ,    0  ,    .000  ,    332  ,    .933  ,    4  ,    .444  ,    3  ,    16  
8,        D. Tadic      SRB,    3  ,    3  ,    258  ,    8  ,    6  ,    .300  ,    79  ,    .859  ,    3  ,    .500  ,    2  ,    9  
9,        K. De Bruyne      BEL,    3  ,    3  ,    270  ,    8  ,    6  ,    .333  ,    88  ,    .807  ,    2  ,    .286  ,    0  ,    7  
10,        O. Dembele      FRA,    5  ,    5  ,    318  ,    8  ,    7  ,    .333  ,    119  ,    .895  ,    0  ,    .000  ,    8  ,    13  
11,        A. Mac Allister      ARG,    5  ,    5  ,    438  ,    7  ,    0  ,    .000  ,    189  ,    .917  ,    1  ,    .333  ,    0  ,    8  
12,        I. Sarr      SEN,    4  ,    4  ,    344  ,    6  ,    3  ,    .273  ,    49  ,    .766  ,    0  ,    -  ,    11  ,    20  
13,        C. Pulisic      USA,    4  ,    4  ,    315  ,    6  ,    6  ,    .171  ,    79  ,    .798  ,    0  ,    .000  ,    4  ,    25  
14,        M. Taremi      IRN,    3  ,    3  ,    270  ,    6  ,    0  ,    -  ,    50  ,    .714  ,    1  ,    1.000  ,    2  ,    12  
15,        P. Zielinski      POL,    4  ,    4  ,    330  ,    6  ,    5  ,    .357  ,    99  ,    .892  ,    2  ,    .250  ,    3  ,    6  
16,        R. De Paul      ARG,    6  ,    6  ,    501  ,    6  ,    0  ,    .000  ,    398  ,    .911  ,    8  ,    .444  ,    2  ,    12  
17,        H. Lozano      MEX,    3  ,    3  ,    253  ,    6  ,    4  ,    .190  ,    40  ,    .816  ,    0  ,    .000  ,    1  ,    14  
18,        S. Al Dawsari      KSA,    3  ,    3  ,    270  ,    6  ,    1  ,    .200  ,    80  ,    .851  ,    1  ,    .333  ,    7  ,    10  
19,        K. Mbappe      FRA,    5  ,    5  ,    387  ,    6  ,    6  ,    .167  ,    126  ,    .894  ,    4  ,    1.000  ,    20  ,    29  
20,        T. Muller      GER,    3  ,    3  ,    203  ,    6  ,    2  ,    .400  ,    46  ,    .780  ,    1  ,    1.000  ,    0  ,    6  
21,        D. Raum      GER,    3  ,    3  ,    243  ,    6  ,    7  ,    .292  ,    135  ,    .912  ,    2  ,    .400  ,    1  ,    4  
22,        J. Musiala      GER,    3  ,    3  ,    259  ,    6  ,    0  ,    .000  ,    92  ,    .836  ,    0  ,    -  ,    10  ,    31  
23,        Raphinha      BRA,    5  ,    5  ,    317  ,    6  ,    3  ,    .120  ,    105  ,    .861  ,    0  ,    -  ,    8  ,    9  
24,        V. Junior      BRA,    4  ,    4  ,    301  ,    6  ,    2  ,    .154  ,    67  ,    .882  ,    0  ,    -  ,    10  ,    25  
