,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,CS : Clean Sheets,GA : Goals Allowed,SOG : Shots on Goal Against,SV : Saves,SV%: Goalie Save Percentage,PKG : Penalty Kick Goals,PK : Penalty Kicks,PKSV : Penalty Kick Saves,YC : Yellow Cards,RC : Red Cards
0,        J. Pickford      ENG,    5  ,    5  ,    450  ,    3  ,    4  ,    11  ,    7  ,    .636  ,    1  ,    1  ,    0  ,    0  ,    0  
1,        E. Martinez      ARG,    6  ,    6  ,    570  ,    3  ,    5  ,    10  ,    5  ,    .500  ,    3  ,    5  ,    2  ,    0  ,    0  
2,        D. Livakovic      CRO,    6  ,    6  ,    600  ,    3  ,    6  ,    29  ,    23  ,    .793  ,    5  ,    9  ,    4  ,    1  ,    0  
3,        Bono      MAR,    4  ,    4  ,    390  ,    3  ,    1  ,    7  ,    6  ,    .857  ,    1  ,    3  ,    2  ,    0  ,    0  
4,        Alisson      BRA,    4  ,    4  ,    380  ,    3  ,    2  ,    7  ,    5  ,    .714  ,    4  ,    4  ,    0  ,    0  ,    0  
5,        M. Turner      USA,    4  ,    4  ,    360  ,    2  ,    4  ,    14  ,    10  ,    .714  ,    1  ,    1  ,    0  ,    0  ,    0  
6,        W. Szczesny      POL,    4  ,    4  ,    360  ,    2  ,    5  ,    29  ,    24  ,    .828  ,    0  ,    2  ,    2  ,    0  ,    0  
7,        A. Dahmen      TUN,    3  ,    3  ,    270  ,    2  ,    1  ,    12  ,    11  ,    .917  ,    0  ,    0  ,    0  ,    0  ,    0  
8,        U. Simon      ESP,    4  ,    4  ,    390  ,    2  ,    3  ,    11  ,    8  ,    .727  ,    3  ,    4  ,    1  ,    0  ,    0  
9,        S. Rochet      URU,    3  ,    3  ,    270  ,    2  ,    2  ,    7  ,    5  ,    .714  ,    1  ,    2  ,    1  ,    0  ,    0  
10,        T. Courtois      BEL,    3  ,    3  ,    270  ,    2  ,    2  ,    11  ,    9  ,    .818  ,    0  ,    1  ,    1  ,    0  ,    0  
11,        M. Ryan      AUS,    4  ,    4  ,    360  ,    2  ,    6  ,    20  ,    14  ,    .700  ,    0  ,    0  ,    0  ,    0  ,    0  
12,        A. Noppert      NED,    5  ,    5  ,    480  ,    2  ,    4  ,    24  ,    20  ,    .833  ,    6  ,    6  ,    0  ,    0  ,    0  
13,        H. Galindez      ECU,    3  ,    3  ,    270  ,    1  ,    3  ,    6  ,    3  ,    .500  ,    1  ,    1  ,    0  ,    0  ,    0  
14,        S. Hosseini      IRN,    2  ,    2  ,    160  ,    1  ,    6  ,    9  ,    3  ,    .333  ,    0  ,    0  ,    0  ,    0  ,    0  
15,        G. Ochoa      MEX,    3  ,    3  ,    270  ,    1  ,    3  ,    6  ,    3  ,    .500  ,    0  ,    1  ,    1  ,    0  ,    0  
16,        K. Schmeichel      DEN,    3  ,    3  ,    270  ,    1  ,    3  ,    11  ,    8  ,    .727  ,    0  ,    0  ,    0  ,    0  ,    0  
17,        Munir      MAR,    1  ,    1  ,    90  ,    1  ,    0  ,    5  ,    5  ,    1.000  ,    0  ,    0  ,    0  ,    0  ,    0  
18,        Y. Sommer      SUI,    3  ,    3  ,    270  ,    1  ,    7  ,    17  ,    10  ,    .588  ,    0  ,    0  ,    0  ,    0  ,    0  
19,        D. Epassy      CMR,    2  ,    2  ,    180  ,    1  ,    3  ,    15  ,    12  ,    .800  ,    0  ,    0  ,    0  ,    0  ,    0  
20,        D. Costa      POR,    5  ,    5  ,    450  ,    1  ,    6  ,    19  ,    13  ,    .684  ,    0  ,    0  ,    0  ,    0  ,    0  
21,        K. Seung Gyu      KOR,    4  ,    4  ,    360  ,    1  ,    8  ,    20  ,    12  ,    .600  ,    1  ,    1  ,    0  ,    0  ,    0  
22,        K. Navas      CRC,    3  ,    3  ,    270  ,    1  ,    11  ,    21  ,    10  ,    .476  ,    1  ,    1  ,    0  ,    0  ,    0  
23,        S. Al Sheeb      QAT,    1  ,    1  ,    90  ,    0  ,    2  ,    3  ,    1  ,    .333  ,    1  ,    1  ,    0  ,    1  ,    0  
24,        M. Barsham      QAT,    2  ,    2  ,    180  ,    0  ,    5  ,    8  ,    3  ,    .375  ,    0  ,    0  ,    0  ,    0  ,    0  
