,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,TKL : Tackles,TKL% : Tackle Percentage,DBK : Defensive Blocks,CLR : Clearances,INT : Interceptions,OG : Own Goals,GC : Goals Conceded,FC : Fouls Committed,FS : Fouls Suffered
0,        R. Saiss      MAR,    5  ,    5  ,    447  ,    5  ,    .833  ,    1  ,    57  ,    0  ,    0  ,    1  ,    4  ,    0  
1,        V. Van Dijk      NED,    5  ,    5  ,    480  ,    1  ,    1.000  ,    6  ,    49  ,    2  ,    0  ,    4  ,    5  ,    3  
2,        J. Gvardiol      CRO,    6  ,    6  ,    600  ,    10  ,    .909  ,    4  ,    49  ,    7  ,    0  ,    3  ,    5  ,    6  
3,        N. Otamendi      ARG,    6  ,    6  ,    570  ,    7  ,    .778  ,    2  ,    46  ,    2  ,    0  ,    5  ,    11  ,    5  
4,        D. Lovren      CRO,    6  ,    6  ,    600  ,    6  ,    .750  ,    5  ,    46  ,    5  ,    0  ,    3  ,    2  ,    5  
5,        K. Koulibaly      SEN,    4  ,    4  ,    360  ,    13  ,    .929  ,    1  ,    40  ,    3  ,    0  ,    7  ,    3  ,    3  
6,        T. Ream      USA,    4  ,    4  ,    360  ,    1  ,    .333  ,    1  ,    36  ,    0  ,    0  ,    4  ,    1  ,    2  
7,        H. Maguire      ENG,    5  ,    5  ,    430  ,    2  ,    .667  ,    1  ,    35  ,    2  ,    0  ,    3  ,    6  ,    2  
8,        J. Andersen      DEN,    3  ,    3  ,    270  ,    3  ,    .600  ,    1  ,    35  ,    0  ,    0  ,    3  ,    3  ,    4  
9,        M. Yoshida      JPN,    4  ,    4  ,    390  ,    3  ,    1.000  ,    3  ,    34  ,    3  ,    0  ,    4  ,    3  ,    4  
10,        C. Romero      ARG,    6  ,    6  ,    428  ,    4  ,    1.000  ,    3  ,    34  ,    2  ,    0  ,    3  ,    9  ,    2  
11,        H. Souttar      AUS,    4  ,    4  ,    360  ,    3  ,    .750  ,    3  ,    33  ,    3  ,    0  ,    6  ,    1  ,    0  
12,        K. Glik      POL,    4  ,    4  ,    360  ,    1  ,    1.000  ,    1  ,    32  ,    2  ,    0  ,    5  ,    2  ,    0  
13,        M. Talbi      TUN,    3  ,    3  ,    270  ,    2  ,    .667  ,    1  ,    32  ,    0  ,    0  ,    1  ,    4  ,    2  
14,        F. Torres      ECU,    3  ,    3  ,    270  ,    0  ,    -  ,    0  ,    30  ,    3  ,    0  ,    3  ,    1  ,    0  
15,        N. Ake      NED,    5  ,    5  ,    480  ,    3  ,    .750  ,    2  ,    30  ,    3  ,    0  ,    4  ,    4  ,    6  
16,        Rodri      ESP,    4  ,    4  ,    390  ,    4  ,    .800  ,    1  ,    30  ,    0  ,    0  ,    3  ,    5  ,    1  
17,        M. Pouraliganji      IRN,    3  ,    3  ,    270  ,    2  ,    1.000  ,    2  ,    30  ,    2  ,    0  ,    7  ,    5  ,    0  
18,        M. Hosseini      IRN,    3  ,    3  ,    270  ,    4  ,    1.000  ,    2  ,    27  ,    2  ,    0  ,    7  ,    4  ,    1  
19,        Pepe      POR,    4  ,    4  ,    360  ,    4  ,    .667  ,    3  ,    27  ,    0  ,    0  ,    4  ,    3  ,    5  
20,        J. Gimenez      URU,    3  ,    3  ,    270  ,    3  ,    .750  ,    4  ,    27  ,    5  ,    0  ,    2  ,    3  ,    3  
21,        J. Vertonghen      BEL,    3  ,    3  ,    270  ,    0  ,    -  ,    2  ,    27  ,    3  ,    0  ,    2  ,    0  ,    6  
22,        K. Rowles      AUS,    4  ,    4  ,    360  ,    2  ,    .667  ,    7  ,    27  ,    2  ,    0  ,    6  ,    1  ,    2  
23,        B. Khoukhi      QAT,    3  ,    3  ,    270  ,    2  ,    1.000  ,    2  ,    26  ,    1  ,    0  ,    7  ,    1  ,    5  
24,        W. Zimmerman      USA,    4  ,    4  ,    278  ,    2  ,    1.000  ,    2  ,    26  ,    1  ,    0  ,    4  ,    2  ,    0  
