,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,CC : Chances Created,CS : Crosses Successful,C% : Cross Percentage,PC : Pass Completions,P% : Pass Percentage,PLC : Pass Completions - Long,PLC% : Pass Percetange - Long,DBC : Dribbles Completed,LOP : Loss Of Posession
0,        K. Mbappe      FRA,    5  ,    5  ,    387  ,    6  ,    6  ,    .167  ,    126  ,    .894  ,    4  ,    1.000  ,    20  ,    29  
1,        L. Messi      ARG,    6  ,    6  ,    570  ,    15  ,    5  ,    .263  ,    242  ,    .877  ,    7  ,    .636  ,    19  ,    40  
2,        Neymar      BRA,    3  ,    3  ,    279  ,    3  ,    2  ,    .200  ,    116  ,    .859  ,    1  ,    .250  ,    14  ,    23  
3,        I. Sarr      SEN,    4  ,    4  ,    344  ,    6  ,    3  ,    .273  ,    49  ,    .766  ,    0  ,    -  ,    11  ,    20  
4,        D. Olmo      ESP,    4  ,    4  ,    368  ,    4  ,    2  ,    .167  ,    143  ,    .872  ,    1  ,    .500  ,    11  ,    29  
5,        S. Boufal      MAR,    5  ,    5  ,    351  ,    3  ,    3  ,    .500  ,    58  ,    .829  ,    7  ,    .636  ,    11  ,    22  
6,        A. Santos      BRA,    4  ,    4  ,    171  ,    3  ,    0  ,    .000  ,    89  ,    .890  ,    1  ,    1.000  ,    11  ,    11  
7,        A. Di Maria      ARG,    4  ,    4  ,    226  ,    5  ,    6  ,    .250  ,    93  ,    .877  ,    3  ,    1.000  ,    10  ,    12  
8,        J. Musiala      GER,    3  ,    3  ,    259  ,    6  ,    0  ,    .000  ,    92  ,    .836  ,    0  ,    -  ,    10  ,    31  
9,        T. Buchanan      CAN,    3  ,    3  ,    261  ,    3  ,    3  ,    .300  ,    59  ,    .819  ,    0  ,    .000  ,    10  ,    24  
10,        V. Junior      BRA,    4  ,    4  ,    301  ,    6  ,    2  ,    .154  ,    67  ,    .882  ,    0  ,    -  ,    10  ,    25  
11,        A. Davies      CAN,    3  ,    3  ,    270  ,    4  ,    2  ,    .182  ,    72  ,    .818  ,    0  ,    .000  ,    10  ,    19  
12,        M. Depay      NED,    5  ,    5  ,    300  ,    3  ,    1  ,    .333  ,    95  ,    .805  ,    0  ,    .000  ,    9  ,    16  
13,        J. Cancelo      POR,    4  ,    4  ,    309  ,    0  ,    3  ,    .231  ,    196  ,    .903  ,    1  ,    .200  ,    9  ,    11  
14,        M. Leckie      AUS,    4  ,    4  ,    335  ,    1  ,    1  ,    .200  ,    63  ,    .750  ,    1  ,    1.000  ,    9  ,    25  
15,        A. Behich      AUS,    4  ,    4  ,    360  ,    1  ,    1  ,    .125  ,    143  ,    .851  ,    2  ,    .143  ,    9  ,    9  
16,        Raphinha      BRA,    5  ,    5  ,    317  ,    6  ,    3  ,    .120  ,    105  ,    .861  ,    0  ,    -  ,    8  ,    9  
17,        O. Dembele      FRA,    5  ,    5  ,    318  ,    8  ,    7  ,    .333  ,    119  ,    .895  ,    0  ,    .000  ,    8  ,    13  
18,        S. Al Dawsari      KSA,    3  ,    3  ,    270  ,    6  ,    1  ,    .200  ,    80  ,    .851  ,    1  ,    .333  ,    7  ,    10  
19,        J. Lindstrom      DEN,    3  ,    3  ,    200  ,    0  ,    0  ,    .000  ,    38  ,    .809  ,    0  ,    .000  ,    7  ,    16  
20,        B. Aaronson      USA,    4  ,    4  ,    105  ,    3  ,    0  ,    .000  ,    41  ,    .911  ,    0  ,    -  ,    6  ,    10  
21,        J. Campbell      CRC,    3  ,    3  ,    270  ,    1  ,    1  ,    .200  ,    99  ,    .876  ,    2  ,    .333  ,    6  ,    22  
22,        S. Dest      USA,    4  ,    4  ,    308  ,    1  ,    1  ,    .111  ,    166  ,    .902  ,    3  ,    .750  ,    5  ,    13  
23,        R. Lewandowski      POL,    4  ,    4  ,    360  ,    4  ,    0  ,    .000  ,    64  ,    .810  ,    0  ,    .000  ,    5  ,    29  
24,        B. Bereszynski      POL,    4  ,    4  ,    342  ,    1  ,    1  ,    .250  ,    110  ,    .866  ,    2  ,    .286  ,    5  ,    12  
