,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,G : Goals,HG : Header Goals,PKG : Penalty Kick Goals,A : Assists,S : Shots,SOG : Shots On Goal,SOFF : Shots Off Target,OFF : Offsides,CK : Corner Kicks,YC : Yellow Cards,RC : Red Cards,YRC : Yellow Red Cards
0,        L. Messi      ARG,    6  ,    6  ,    570  ,    5  ,    0  ,    3  ,    3  ,    26  ,    13  ,    10  ,    2  ,    14  ,    1  ,    0  ,    0  
1,        K. Mbappe      FRA,    5  ,    5  ,    387  ,    5  ,    1  ,    0  ,    2  ,    20  ,    10  ,    4  ,    1  ,    5  ,    0  ,    0  ,    0  
2,        J. Alvarez      ARG,    6  ,    6  ,    364  ,    4  ,    0  ,    0  ,    0  ,    10  ,    7  ,    1  ,    4  ,    0  ,    0  ,    0  ,    0  
3,        O. Giroud      FRA,    4  ,    4  ,    318  ,    4  ,    1  ,    0  ,    0  ,    14  ,    6  ,    8  ,    1  ,    0  ,    0  ,    0  ,    0  
4,        E. Valencia      ECU,    3  ,    3  ,    257  ,    3  ,    1  ,    1  ,    0  ,    9  ,    4  ,    0  ,    2  ,    0  ,    0  ,    0  ,    0  
5,        C. Gakpo      NED,    5  ,    5  ,    454  ,    3  ,    1  ,    0  ,    0  ,    6  ,    3  ,    0  ,    3  ,    16  ,    0  ,    0  ,    0  
6,        B. Saka      ENG,    4  ,    4  ,    291  ,    3  ,    0  ,    0  ,    0  ,    7  ,    5  ,    2  ,    2  ,    0  ,    0  ,    0  ,    0  
7,        A. Morata      ESP,    4  ,    4  ,    183  ,    3  ,    1  ,    0  ,    1  ,    8  ,    5  ,    3  ,    5  ,    0  ,    0  ,    0  ,    0  
8,        Richarlison      BRA,    4  ,    4  ,    326  ,    3  ,    0  ,    0  ,    0  ,    6  ,    4  ,    1  ,    1  ,    0  ,    0  ,    0  ,    0  
9,        G. Ramos      POR,    4  ,    4  ,    153  ,    3  ,    0  ,    0  ,    1  ,    6  ,    5  ,    1  ,    3  ,    0  ,    0  ,    0  ,    0  
10,        M. Rashford      ENG,    5  ,    5  ,    138  ,    3  ,    0  ,    0  ,    0  ,    11  ,    6  ,    3  ,    1  ,    0  ,    0  ,    0  ,    0  
11,        W. Weghorst      NED,    4  ,    4  ,    61  ,    2  ,    1  ,    0  ,    0  ,    2  ,    2  ,    0  ,    1  ,    0  ,    1  ,    0  ,    0  
12,        H. Kane      ENG,    5  ,    5  ,    402  ,    2  ,    0  ,    1  ,    3  ,    10  ,    6  ,    2  ,    0  ,    0  ,    0  ,    0  ,    0  
13,        M. Taremi      IRN,    3  ,    3  ,    270  ,    2  ,    0  ,    1  ,    1  ,    4  ,    2  ,    1  ,    2  ,    0  ,    0  ,    0  ,    0  
14,        R. Lewandowski      POL,    4  ,    4  ,    360  ,    2  ,    0  ,    1  ,    1  ,    11  ,    4  ,    4  ,    0  ,    0  ,    0  ,    0  ,    0  
15,        S. Al Dawsari      KSA,    3  ,    3  ,    270  ,    2  ,    0  ,    0  ,    0  ,    6  ,    4  ,    2  ,    1  ,    2  ,    1  ,    0  ,    0  
16,        K. Havertz      GER,    2  ,    2  ,    103  ,    2  ,    0  ,    0  ,    0  ,    4  ,    2  ,    2  ,    3  ,    0  ,    0  ,    0  ,    0  
17,        F. Torres      ESP,    4  ,    4  ,    219  ,    2  ,    0  ,    1  ,    0  ,    5  ,    2  ,    0  ,    2  ,    0  ,    0  ,    0  ,    0  
18,        R. Doan      JPN,    4  ,    4  ,    218  ,    2  ,    0  ,    0  ,    0  ,    3  ,    3  ,    0  ,    0  ,    5  ,    0  ,    0  ,    0  
19,        A. Kramaric      CRO,    6  ,    6  ,    420  ,    2  ,    0  ,    0  ,    0  ,    8  ,    3  ,    2  ,    2  ,    0  ,    0  ,    0  ,    0  
20,        Y. En-Nesyri      MAR,    5  ,    5  ,    391  ,    2  ,    1  ,    0  ,    0  ,    5  ,    2  ,    2  ,    3  ,    0  ,    0  ,    0  ,    0  
21,        B. Embolo      SUI,    4  ,    4  ,    327  ,    2  ,    0  ,    0  ,    0  ,    6  ,    3  ,    1  ,    2  ,    0  ,    0  ,    0  ,    0  
22,        A. Mitrovic      SRB,    3  ,    3  ,    263  ,    2  ,    1  ,    0  ,    0  ,    11  ,    5  ,    4  ,    1  ,    0  ,    1  ,    0  ,    0  
23,        Neymar      BRA,    3  ,    3  ,    279  ,    2  ,    0  ,    1  ,    1  ,    12  ,    9  ,    1  ,    2  ,    9  ,    0  ,    0  ,    0  
24,        V. Aboubakar      CMR,    3  ,    3  ,    141  ,    2  ,    1  ,    0  ,    1  ,    6  ,    3  ,    1  ,    0  ,    0  ,    0  ,    0  ,    1  
