,Players,GP : Games Played,GS : Games Started,MP : Minutes Played,TKL : Tackles,TKL% : Tackle Percentage,DBK : Defensive Blocks,CLR : Clearances,INT : Interceptions,OG : Own Goals,GC : Goals Conceded,FC : Fouls Committed,FS : Fouls Suffered
0,        L. Modric      CRO,    6  ,    6  ,    566  ,    6  ,    .750  ,    1  ,    3  ,    8  ,    0  ,    3  ,    13  ,    13  
1,        J. Irvine      AUS,    4  ,    4  ,    355  ,    4  ,    1.000  ,    0  ,    12  ,    8  ,    0  ,    6  ,    7  ,    3  
2,        D. Rice      ENG,    5  ,    5  ,    417  ,    8  ,    .800  ,    2  ,    5  ,    7  ,    0  ,    4  ,    3  ,    2  
3,        J. Gvardiol      CRO,    6  ,    6  ,    600  ,    10  ,    .909  ,    4  ,    49  ,    7  ,    0  ,    3  ,    5  ,    6  
4,        K. Baccus      AUS,    4  ,    4  ,    113  ,    0  ,    -  ,    0  ,    3  ,    7  ,    0  ,    2  ,    4  ,    1  
5,        P. Carvalho Deus Correia      QAT,    3  ,    3  ,    263  ,    4  ,    .667  ,    0  ,    16  ,    6  ,    0  ,    6  ,    4  ,    5  
6,        R. De Paul      ARG,    6  ,    6  ,    501  ,    7  ,    1.000  ,    0  ,    10  ,    6  ,    0  ,    3  ,    5  ,    9  
7,        Casemiro      BRA,    4  ,    4  ,    390  ,    9  ,    .643  ,    2  ,    10  ,    6  ,    0  ,    2  ,    7  ,    3  
8,        F. Valverde      URU,    3  ,    3  ,    270  ,    8  ,    1.000  ,    0  ,    5  ,    6  ,    0  ,    2  ,    6  ,    2  
9,        F. De Jong      NED,    5  ,    5  ,    476  ,    5  ,    .625  ,    3  ,    3  ,    5  ,    0  ,    4  ,    4  ,    6  
10,        I. Gueye      SEN,    3  ,    3  ,    270  ,    1  ,    .500  ,    1  ,    0  ,    5  ,    0  ,    4  ,    4  ,    1  
11,        A. Nourollahi      IRN,    3  ,    3  ,    225  ,    2  ,    .667  ,    0  ,    10  ,    5  ,    0  ,    6  ,    2  ,    0  
12,        N. Molina      ARG,    6  ,    6  ,    478  ,    4  ,    .667  ,    1  ,    11  ,    5  ,    0  ,    5  ,    3  ,    0  
13,        A. Rabiot      FRA,    5  ,    5  ,    387  ,    13  ,    .929  ,    0  ,    6  ,    5  ,    0  ,    4  ,    7  ,    2  
14,        K. Miller      CAN,    3  ,    3  ,    270  ,    2  ,    .667  ,    1  ,    16  ,    5  ,    0  ,    7  ,    0  ,    3  
15,        I. Perisic      CRO,    6  ,    6  ,    581  ,    4  ,    1.000  ,    1  ,    9  ,    5  ,    0  ,    3  ,    10  ,    0  
16,        D. Lovren      CRO,    6  ,    6  ,    600  ,    6  ,    .750  ,    5  ,    46  ,    5  ,    0  ,    3  ,    2  ,    5  
17,        S. Amallah      MAR,    5  ,    5  ,    330  ,    1  ,    1.000  ,    0  ,    2  ,    5  ,    0  ,    0  ,    7  ,    6  
18,        L. Paqueta      BRA,    4  ,    4  ,    315  ,    6  ,    .857  ,    1  ,    3  ,    5  ,    0  ,    1  ,    4  ,    2  
19,        J. Gimenez      URU,    3  ,    3  ,    270  ,    3  ,    .750  ,    4  ,    27  ,    5  ,    0  ,    2  ,    3  ,    3  
20,        H. Ziyech      MAR,    5  ,    5  ,    458  ,    4  ,    .667  ,    0  ,    2  ,    5  ,    0  ,    1  ,    11  ,    5  
21,        D. Dumfries      NED,    5  ,    5  ,    480  ,    4  ,    .800  ,    1  ,    12  ,    4  ,    0  ,    4  ,    16  ,    6  
22,        T. Koopmeiners      NED,    5  ,    5  ,    218  ,    4  ,    .800  ,    1  ,    9  ,    4  ,    0  ,    3  ,    6  ,    1  
23,        J. Bellingham      ENG,    5  ,    5  ,    414  ,    9  ,    .818  ,    0  ,    3  ,    4  ,    0  ,    4  ,    6  ,    5  
24,        N. Tagliafico      ARG,    5  ,    5  ,    253  ,    2  ,    .500  ,    0  ,    11  ,    4  ,    0  ,    5  ,    3  ,    4  
