,Teams,GP : Games Played,GF : Goals,KG : Kicked Goals,HG : Header Goals,1G : Goals First HAlf,2G : Goals Second Half,GC : Goals Conceded,1GC : Goals Conceded First Half,2GC : Goals Conceded Second Half,A : Assists,PK : Penalty Kicks,PKG : Penalty Kick Goals,YC : Yellow Cards,RC : Red Cards,YRC : Yellow Red Cards
0,        England      ,    5  ,    13  ,    12  ,    1  ,    5  ,    8  ,    4  ,    1  ,    3  ,    11  ,    2  ,    1  ,    1  ,    0  ,    0  
1,        Argentina      ,    6  ,    12  ,    16  ,    0  ,    5  ,    7  ,    5  ,    0  ,    5  ,    7  ,    4  ,    3  ,    12  ,    0  ,    0  
2,        Portugal      ,    5  ,    12  ,    11  ,    1  ,    3  ,    9  ,    6  ,    2  ,    4  ,    10  ,    2  ,    2  ,    6  ,    0  ,    0  
3,        France      ,    5  ,    11  ,    7  ,    4  ,    4  ,    7  ,    5  ,    1  ,    4  ,    11  ,    0  ,    0  ,    5  ,    0  ,    0  
4,        Netherlands      ,    5  ,    10  ,    11  ,    2  ,    4  ,    6  ,    4  ,    1  ,    3  ,    8  ,    0  ,    0  ,    11  ,    0  ,    1  
5,        Spain      ,    4  ,    9  ,    8  ,    1  ,    4  ,    5  ,    3  ,    0  ,    3  ,    5  ,    1  ,    1  ,    2  ,    0  ,    0  
6,        Brazil      ,    5  ,    8  ,    10  ,    0  ,    4  ,    3  ,    3  ,    0  ,    2  ,    6  ,    1  ,    1  ,    6  ,    0  ,    0  
7,        Croatia      ,    6  ,    6  ,    12  ,    1  ,    2  ,    3  ,    6  ,    4  ,    1  ,    6  ,    0  ,    0  ,    8  ,    0  ,    0  
8,        Germany      ,    3  ,    6  ,    5  ,    1  ,    2  ,    4  ,    5  ,    0  ,    5  ,    5  ,    1  ,    1  ,    3  ,    0  ,    0  
9,        Ghana      ,    3  ,    5  ,    3  ,    2  ,    2  ,    3  ,    7  ,    2  ,    5  ,    2  ,    1  ,    0  ,    8  ,    0  ,    0  
10,        Japan      ,    4  ,    5  ,    6  ,    0  ,    1  ,    4  ,    4  ,    2  ,    2  ,    4  ,    0  ,    0  ,    6  ,    0  ,    0  
11,        Morocco      ,    5  ,    5  ,    7  ,    1  ,    3  ,    2  ,    1  ,    1  ,    0  ,    4  ,    0  ,    0  ,    5  ,    0  ,    1  
12,        Senegal      ,    4  ,    5  ,    4  ,    1  ,    2  ,    3  ,    7  ,    2  ,    5  ,    2  ,    1  ,    1  ,    7  ,    0  ,    0  
