,Teams,GP : Games Played,S : Shots,SOG : Shots On Goal,SOP : Shots On Post,SOFF : Shots Off Target,SAB : Shot Attempts Blocked,POSS : Possession Time Minutes Average,C : Crosses,CS : Crosses Successful,P : Passes,PC : Pass Completions,PL : Pass Attempts - Long,PLC : Pass Completions - Long,CK : Corner Kicks,OFF : Offsides
0,        Spain      ,    4  ,    50  ,    17  ,    0  ,    16  ,    16  ,    76  ,    78  ,    16  ,"    3,492  ","    3,300  ",    76  ,    33  ,    21  ,    11  
1,        Argentina      ,    6  ,    81  ,    39  ,    0  ,    29  ,    13  ,    58  ,    98  ,    20  ,"    3,402  ","    3,148  ",    157  ,    57  ,    33  ,    20  
2,        Croatia      ,    6  ,    64  ,    22  ,    0  ,    26  ,    15  ,    55  ,    146  ,    24  ,"    3,403  ","    3,098  ",    164  ,    61  ,    24  ,    9  
3,        Brazil      ,    5  ,    88  ,    44  ,    1  ,    24  ,    19  ,    56  ,    117  ,    23  ,"    2,792  ","    2,586  ",    114  ,    53  ,    37  ,    8  
4,        England      ,    5  ,    58  ,    28  ,    1  ,    19  ,    11  ,    63  ,    100  ,    27  ,"    2,758  ","    2,560  ",    157  ,    68  ,    25  ,    5  
5,        Portugal      ,    5  ,    61  ,    26  ,    0  ,    17  ,    18  ,    61  ,    108  ,    23  ,"    2,555  ","    2,356  ",    175  ,    59  ,    28  ,    14  
6,        France      ,    5  ,    76  ,    30  ,    0  ,    22  ,    23  ,    55  ,    131  ,    36  ,"    2,475  ","    2,280  ",    140  ,    51  ,    31  ,    7  
7,        Netherlands      ,    5  ,    48  ,    17  ,    1  ,    17  ,    14  ,    52  ,    83  ,    17  ,"    2,513  ","    2,269  ",    129  ,    49  ,    19  ,    7  
8,        United States      ,    4  ,    44  ,    13  ,    0  ,    17  ,    13  ,    53  ,    105  ,    16  ,"    1,879  ","    1,709  ",    95  ,    41  ,    22  ,    5  
9,        Germany      ,    3  ,    66  ,    25  ,    0  ,    28  ,    12  ,    59  ,    75  ,    25  ,"    1,667  ","    1,531  ",    76  ,    40  ,    25  ,    12  
10,        Switzerland      ,    4  ,    35  ,    13  ,    0  ,    9  ,    13  ,    49  ,    68  ,    14  ,"    1,698  ","    1,527  ",    101  ,    33  ,    20  ,    6  
11,        Belgium      ,    3  ,    33  ,    10  ,    0  ,    13  ,    10  ,    56  ,    57  ,    13  ,"    1,608  ","    1,485  ",    82  ,    28  ,    17  ,    3  
