,Teams,GP : Games Played,GC : Goals Conceded,S : Shots,SOG : Shots On Goal,SV : Saves,CLR : Clearances,CS : Clean Sheets,PK : Penalty Kicks,PKG : Penalty Kick Goals
0,        Poland      ,    4  ,    5  ,    70  ,    29  ,    24  ,    141  ,    2  ,    2  ,    0  
1,        Croatia      ,    6  ,    6  ,    69  ,    29  ,    23  ,    194  ,    2  ,    1  ,    1  
2,        Netherlands      ,    5  ,    4  ,    63  ,    24  ,    20  ,    176  ,    2  ,    1  ,    1  
3,        Serbia      ,    3  ,    8  ,    47  ,    24  ,    16  ,    96  ,    0  ,    0  ,    0  
4,        Japan      ,    4  ,    4  ,    57  ,    19  ,    15  ,    162  ,    0  ,    1  ,    1  
5,        Saudi Arabia      ,    3  ,    5  ,    48  ,    20  ,    15  ,    119  ,    0  ,    1  ,    1  
6,        Australia      ,    4  ,    6  ,    64  ,    20  ,    14  ,    163  ,    2  ,    0  ,    0  
7,        Cameroon      ,    3  ,    4  ,    45  ,    18  ,    14  ,    98  ,    1  ,    0  ,    0  
8,        Portugal      ,    5  ,    6  ,    51  ,    18  ,    13  ,    133  ,    1  ,    0  ,    0  
9,        Switzerland      ,    4  ,    9  ,    39  ,    22  ,    13  ,    174  ,    1  ,    0  ,    0  
10,        South Korea      ,    4  ,    8  ,    44  ,    19  ,    12  ,    109  ,    1  ,    1  ,    1  
11,        Morocco      ,    5  ,    1  ,    45  ,    10  ,    11  ,    212  ,    4  ,    0  ,    0  
12,        Tunisia      ,    3  ,    1  ,    28  ,    12  ,    11  ,    134  ,    2  ,    0  ,    0  
13,        Costa Rica      ,    3  ,    11  ,    59  ,    21  ,    10  ,    118  ,    1  ,    1  ,    1  
14,        United States      ,    4  ,    4  ,    33  ,    14  ,    10  ,    134  ,    2  ,    1  ,    1  
15,        Belgium      ,    3  ,    2  ,    42  ,    11  ,    9  ,    105  ,    2  ,    1  ,    0  
16,        France      ,    5  ,    5  ,    43  ,    14  ,    9  ,    114  ,    0  ,    4  ,    2  
17,        Ghana      ,    3  ,    7  ,    41  ,    16  ,    9  ,    114  ,    0  ,    1  ,    1  
18,        Wales      ,    3  ,    6  ,    42  ,    15  ,    9  ,    128  ,    0  ,    0  ,    0  
19,        Denmark      ,    3  ,    3  ,    39  ,    11  ,    8  ,    121  ,    1  ,    0  ,    0  
20,        Spain      ,    4  ,    3  ,    24  ,    11  ,    8  ,    83  ,    2  ,    0  ,    0  
21,        Brazil      ,    5  ,    3  ,    33  ,    10  ,    7  ,    107  ,    2  ,    0  ,    0  
22,        Canada      ,    3  ,    7  ,    25  ,    14  ,    7  ,    73  ,    0  ,    0  ,    0  
23,        England      ,    5  ,    4  ,    43  ,    10  ,    7  ,    107  ,    3  ,    1  ,    1  
24,        Germany      ,    3  ,    5  ,    24  ,    10  ,    7  ,    51  ,    0  ,    0  ,    0  
25,        Iran      ,    3  ,    7  ,    31  ,    14  ,    7  ,    134  ,    1  ,    0  ,    0  
26,        Senegal      ,    4  ,    7  ,    34  ,    14  ,    7  ,    141  ,    0  ,    0  ,    0  
27,        Argentina      ,    6  ,    5  ,    34  ,    9  ,    5  ,    183  ,    3  ,    0  ,    0  
28,        Uruguay      ,    3  ,    2  ,    29  ,    7  ,    5  ,    140  ,    2  ,    2  ,    1  
29,        Qatar      ,    3  ,    7  ,    32  ,    11  ,    4  ,    94  ,    0  ,    1  ,    1  
30,        Ecuador      ,    3  ,    3  ,    21  ,    6  ,    3  ,    92  ,    1  ,    1  ,    1  
31,        Mexico      ,    3  ,    3  ,    20  ,    6  ,    3  ,    119  ,    1  ,    1  ,    0  
